Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN Decoded,Serial Number,Make,Make - Unknown,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Driver / Operator Type,Automation Feature Version,Automation Feature Version CBI,Automation System Engaged?,Engagement Status,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Internal Process Review,Source - NHTSA VOQ,Source - Other - See Narrative,Source - Other Entity,Source - State or Other Agency,Incident Date,Incident Date - Unknown,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Zip Code,Roadway Type,Roadway-Degraded Surface,Roadway-Missing/Degraded Marking,Roadway-No Unusual Conditions,Roadway-Other-See Narrative,Roadway-Traffic Incident,Roadway-Unknown,Roadway-Wet Surface Condition,Roadway-Work Zone,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Partly Cloudy,Weather - Fog/Smoke/Haze,Weather - Rain,Weather - Severe Wind,Weather - Dust Storm,Weather - Severe Hurricane,Weather - Structure-Indoor,Weather - Unk - See Narrative,Crash With,Highest Injury Severity Alleged,CP Pre-Crash Movement,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,Any Air Bags Deployed?,Was Any Vehicle Towed?,Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Investigating Agency,Investigating Agency - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
945-11574,2,"Nissan North America, Inc.",Update,,,SEP-2025,3PCAJ5CA7MF,Y,,INFINITI, ,QX50, ,2021, ,aa02783d2d83da5,Consumer,ProPilot Assist, ,ADAS,Alleged Engaged,, ,Y, , , , , , , , , , ,AUG-2025, ,13:30, ,1870d17d5f0663e,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],Street, , , , , ,Y, , , , , , , , , , , , ,Y,SUV,Minor W/O Hospitalization,Unknown, , , , , , , , , , ,Y,Unknown,"Yes Subject Vehicle, Unknown Crash Partner",Unknown,Subject Vehicle - No Passenger In Vehicle,78, , ,Y, , , ,Y, , , , , ,Y, , ,Y, , , , ,,Y,"Unknown, see Narrative", ,"The information contained in this report is based on Nissan's understanding of the allegations received during Claimant's discussions with Nissan's Consumer Affairs representatives and Nissan's preliminary vehicle inspection.
On 8/21/25 claimant notified Nissan Consumer Affairs of an accident which reportedly occurred on 8/[XXX]/25.   The Claimant stated that the Claimant's son was driving the vehicle with ""cruise assist"" on with both hands on the wheel. Claimant stated the vehicle steered to the left on its own, colliding with oncoming traffic. Claimant was not hospitalized immediately after the incident but visited a physician on 8/20/25. Claimant states that the son sustained injuries to both hands and was concussed.
On 8/27/25, Nissan received the allegation that a curtain air bag had deployed during the incident and that claimant's son was hospitalized. 
On 9/4/25, Nissan inspected the vehicle. Primary vehicle damage was observed in the left front corner and proceeding down the left side of the vehicle. The left curtain, the driver, and the passenger knee airbags were deployed as a result of the impact. EDR data gathered from the vehicle did not support the claimant's allegations of the vehicle steering to the left proir to the incident.
On 9/10/25, Nissan requested a copy of the police report from the claimant. The claimant informed Nissan that they had already settled with the insurance company and that the investigation ""would no longer be applicable.""", 
1306-11380,2,Toyota Motor Engineering & Manufacturing,Update,,,SEP-2025,2T3W1RFV7RC,Y,,TOYOTA, ,RAV4, ,2024, ,673405b03b171e6,Consumer,TSS 2.5, ,ADAS,Alleged Engaged,, ,Y,Y, ,Y, , , , , , , ,JUL-2025, ,00:15, ,a55ab68f14ccf71,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],Highway / Freeway, , ,Y, , , , , ,Y, , , , , , , , , , ,Other Fixed Object,Serious W/ Hospitalization,,,,,,,,,,,,,Proceeding Straight,"Yes Subject Vehicle, No Crash Partner","Yes Subject Vehicle, No Crash Partner",Unknown,71, , ,Y, , , ,Y, , , , , ,Y, ,Y,Y, ,Y, , ,California Highway Patrol, ,"Unknown, see Narrative", ,"From original report (July 25, 2025):
Entries in this report are based on unconfirmed allegations:
On July [XXX], 2025, Toyota received an initial contact from the driver of a rental vehicle involved in the crash. The driver described that cruise control was engaged with lane trace assist/lane departure assist and pre-collision system turned on leading up to the crash event. The driver alleged that while driving on a highway, the lane trace assist/lane departure assist failed to engage and keep vehicle within lanes, and the PCS failed to detect the median of the freeway and slow down the vehicle before impact. The driver stated he noticed twice before the incident the lane trace assist/lane departure would keep the vehicle in the lane. The driver stated the third time, the vehicle drifted out of the lane, and the driver side of the vehicle impacted the freeway median. The driver alleged the driver assistance features did not function properly and failed to prevent the accident.
As a result of the crash, the driver alleged that: the airbags deployed there was significant damage to the front driver's side of the vehicle, including the wheel, tire, bumper, and fender one of the five occupants seated in the left rear position sustained injuries to her left rib cage that required emergency room treatment (seat belt use unknown) and the vehicle was towed from the scene and deemed a total loss. 
The driver stated the California Highway Patrol responded to the crash and provided report numbers ""NCIC - 9650"".
From Update Report (September 15, 2025): 
On August 28, 2025, Toyota completed vehicle inspection field report related to the crash event and obtained the Event Data Recorder (EDR) record. The record indicated that the vehicle's Dynamic Radar Cruise Control (DRCC) was engaged in the recorded moments leading up to the crash event. Toyota is investigating the Lane Tracing Assist (LTA) engagement status, and the timing of driver inputs related to steering, acceleration, and braking. This information will be provided in a future update. Minor revisions to information in the report fields above were made based on factual information obtained from the field report and EDR record.", 
28349-11568,2,"Lucid USA, Inc.",Update,,,SEP-2025,50EA1GBA4NA,Y,,LUCID, ,Air, ,2022, ,2f1e752f33246d9,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS,Verified Engaged,, , ,Y, , , , , , , , , ,AUG-2025, ,14:04, ,71cd31ee315c0de,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Highway / Freeway, , , ,Y, , , , , , ,Y, , , , , , , , ,SUV,Unknown,Crossing into Opposing Lane,Y, ,Y, , , , , , , , ,Proceeding Straight,"Yes Subject Vehicle, Yes Crash Partner","Yes Subject Vehicle, Unknown Crash Partner",Subject Vehicle - All Belted,44, , , , , , ,Y, , ,Y, , , , ,Y, , , , , ,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
29990-11688,1,"Rivian Automotive, LLC",5-Day,,,SEP-2025,7PDSGBBA4SN,Y,,RIVIAN, ,R1S, ,2025, ,92e14b65259b2e2,Consumer,2025.26.30, ,ADAS,Verified Engaged,, ,Y, , , , , , , , , , ,SEP-2025, ,08:13, ,f281769e4f9cdd6,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION],Highway / Freeway, , , , , ,Y, , ,Y, , , , , , , , , , ,Other Fixed Object,Unknown,,,,,,,,,,,,,Unknown,"Yes Subject Vehicle, No Crash Partner","Yes Subject Vehicle, No Crash Partner",Subject Vehicle - Not Belted - see Narrative,50, , , , , , ,Y, , , , , , , ,Y,Y, , , , ,No, ,Yes, ,"On September 8, 2025, we learned about a single-vehicle collision involving a [XXX] loaner vehicle. Specifically, on September [XXX], 2025, at approximately 8:13 a.m. MST, the subject vehicle was traveling on Interstate [XXX] near the [XXX] exit in Tempe, Arizona. The driver alleges that the ""driver plus feature"" was active and that the vehicle ""veered sharply left,"" causing it to collide with the center median. The vehicle was subsequently towed from the scene. The driver reported visiting an urgent care facility. It is unknown whether he sustained injuries.
Based on available telematics, 33 seconds before the collision, the driver activated ACC. Then, 9 seconds before the collision, he activated Highway Assist. Next, 4 seconds after activating Highway Assist, the driver unbuckled his seatbelt while the vehicle was traveling 62 mph. The driver's actions triggered Highway Assist to disengage and issue audible and visual driver warnings. The driver immediately steered left, and the vehicle struck the center median. The vehicle was traveling at approximately 50 mph at the time of the crash.
Based on the information available, [XXX] believes the driver steering the vehicle left immediately before the impact caused the collision.", 
13781-11685,1,"Tesla, Inc.",5-Day,,,SEP-2025,7SAYGDEE3TF,Y,,TESLA, ,Model Y, ,2026, ,b511f184c3dbd9b,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS,Verified Engaged,, , , , , ,Y, , , , , , ,SEP-2025, ,02:26, ,07b8c8e2fd32e4b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Highway / Freeway, , ,Y, , , , , , , , ,Y, , , , , , , ,Animal,Minor W/O Hospitalization,NM Crossing Roadway,,,,,,,,,,,,Proceeding Straight,"Yes Subject Vehicle, Unknown Crash Partner","Yes Subject Vehicle, Unknown Crash Partner",Subject Vehicle - All Belted,64, , , ,Y, , ,Y, , ,Y, , ,Y, , , ,Y,Y, , ,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-11684,1,"Tesla, Inc.",5-Day,,,SEP-2025,7SAYGDEE3TA,Y,,TESLA, ,Model Y, ,2026, ,f58500231451124,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS,Verified Engaged,, , ,Y, , , , , , , , , ,SEP-2025, ,20:31, ,073aed06cadfa99,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Unknown, , , , , ,Y, , , , , , , , , , , , ,Y,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,"Yes Subject Vehicle, Unknown Crash Partner",Unknown,Unknown,28, , , , , , , , , , , ,Y,Y, ,Y, , ,Y, , ,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-11683,1,"Tesla, Inc.",5-Day,,,SEP-2025,7SAYGDED5TF,Y,,TESLA, ,Model Y, ,2026, ,e53fb92c88927b2,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS,Verified Engaged,, , ,Y, , , , , , , , , ,SEP-2025, ,18:26, ,a1048ed4fc1e402,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Highway / Freeway, , ,Y, , , , , ,Y, , , , , , , , , , ,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,"Yes Subject Vehicle, Unknown Crash Partner",Unknown,Unknown,12, , , , , , , , , , , ,Y,Y, ,Y, ,Y,Y, , ,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-11682,1,"Tesla, Inc.",5-Day,,,SEP-2025,5YJ3E1EB4NF,Y,,TESLA, ,Model 3, ,2022, ,9cfac7431c732ee,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS,Verified Engaged,, , ,Y, , , , , , , , , ,SEP-2025, ,12:20, ,28d7439c87b2a03,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Highway / Freeway, , , , , , ,Y, , , ,Y, , ,Y, , , , , ,Other Fixed Object,Unknown,,,,,,,,,,,,,Lane / Road Departure,"Yes Subject Vehicle, Unknown Crash Partner",Unknown,Unknown,,Y, , ,Y, , ,Y, , ,Y, , ,Y, ,Y, ,Y,Y, , ,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-11681,1,"Tesla, Inc.",5-Day,,,SEP-2025,5YJ3E1EA5PF,Y,,TESLA, ,Model 3, ,2023, ,3fc470a28dfc40a,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS,Verified Engaged,, , ,Y, , , , , , , , , ,SEP-2025, ,16:09, ,2da100de4f232f2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , ,Y, , , , , , , ,Y, , , , , , , , ,SUV,Unknown,Proceeding Straight, , ,Y, , , , ,Y, , , ,Making Left Turn,"Yes Subject Vehicle, Yes Crash Partner",Unknown,Unknown,0, , , , , , ,Y, , ,Y, , ,Y, ,Y, ,Y,Y, , ,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-11679,1,"Tesla, Inc.",5-Day,,,SEP-2025,5YJ3E1EA3RF,Y,,TESLA, ,Model 3, ,2024, ,4b301e46e5a2697,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS,Verified Engaged,, , ,Y, , , , , , , , , ,SEP-2025, ,22:57, ,e5b7b3e3441914f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Unknown, , , , , ,Y, , , , , , , , , , , , ,Y,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,"Yes Subject Vehicle, Unknown Crash Partner",Unknown,Unknown,20, , , , , , , , , , , ,Y,Y, ,Y, , ,Y, , ,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
