Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN Decoded,Serial Number,Make,Make - Unknown,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Driver / Operator Type,Automation Feature Version,Automation Feature Version CBI,Automation System Engaged?,Engagement Status,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Internal Process Review,Source - NHTSA VOQ,Source - Other - See Narrative,Source - Other Entity,Source - State or Other Agency,Incident Date,Incident Date - Unknown,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Zip Code,Roadway Type,Roadway-Degraded Surface,Roadway-Missing/Degraded Marking,Roadway-No Unusual Conditions,Roadway-Other-See Narrative,Roadway-Traffic Incident,Roadway-Unknown,Roadway-Wet Surface Condition,Roadway-Work Zone,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Partly Cloudy,Weather - Fog/Smoke/Haze,Weather - Rain,Weather - Severe Wind,Weather - Dust Storm,Weather - Severe Hurricane,Weather - Structure-Indoor,Weather - Unk - See Narrative,Crash With,Highest Injury Severity Alleged,CP Pre-Crash Movement,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,Any Air Bags Deployed?,Was Any Vehicle Towed?,Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Investigating Agency,Investigating Agency - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30610-11696,1,"Zoox, Inc.",Monthly,8,2025,Sep-25,5TDDGRFH7KS,Y,,TOYOTA, ,Highlander, ,2019, ,a50870901188e49,In-Vehicle (Commercial / Test),271.25.08.26, ,ADS,Verified Engaged,Zoox, , , , ,Y,Y, , , , , , ,Aug-25, ,9:11, ,03781d2c09e781b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , ,Y, , , , , , , , , , ,SUV,Property Damage. No Injured Reported,Entering Traffic, , ,Y, , ,Y, , ,Y, , ,Proceeding Straight,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,10, ,Y, , , , , , ,Y, , , , , ,Y, ,Y, , , ,None, ,Yes, ,"A Zoox vehicle (Vehicle 1) in autonomous mode was traveling southwest on [XXX] towards [XXX] in Santa Monica when it was struck on the passenger side by an SUV (Vehicle 2), traveling southeast on [XXX], which failed to yield the right-of-way and entered the Zoox vehicle's travel path. The Zoox vehicle braked, the vehicle operator disengaged, continued to brake, and steered left, but contact was unavoidable. The Zoox vehicle sustained moderate damage, and Vehicle 2 also sustained damage. There were no reported injuries, and the police were not notified.", 
30270-11673,1,Waymo LLC,Monthly,8,2025,Sep-25,SADHW2S17R1,Y,,JAGUAR, ,I-PACE, ,2024, ,3a591fe755ab2be,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Aug-25, ,15:05, ,a18be595695791f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , ,Y, , , , , , , , , , ,SUV,Property Damage. No Injured Reported,Proceeding Straight, , , , , , , , ,Y, , ,Stopped,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle,0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,Scottsdale Police Department, ,Yes, ,"On August [XXX], 2025 at 3:05 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Scottsdale, Arizona was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was stopped facing south on [XXX] in the right turn lane behind a passenger car waiting to turn right at a stop sign at the intersection with [XXX]. An SUV initially stopped behind the Waymo AV began to proceed forward and the front of the SUV made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30490-11693,1,"Beep, Inc.",Monthly,9,2025,Sep-25,1FTBW1XK1NK,Y,,FORD, ,Transit, ,2022, ,329196ba4571752,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADS,Verified Not Engaged,"Beep, Inc.", , , , ,Y, , , , , , , ,Aug-25, ,12:10, ,9cfac09fd9d9164,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , ,Y, , , , , , , , , , ,Pole / Tree,Property Damage. No Injured Reported,,,,,,,,,,,,,Lane / Road Departure,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,25, , , ,Y, , , , , , , , , , ,Y, ,Y, , , ,"Beep, Inc.", ,Yes, ,"On August [XXX], 2025, a Beep-operated Ford E-Transit (002B) equipped with an automated driving system developed by Oxa Autonomy Ltd. was involved in a collision with a stationary object in Jacksonville, FL.
While navigating westbound on [XXX] along a predefined route, vehicle 002B began to slowly veer towards the right curb. The vehicle eventually climbed the curb with the right front and rear wheels and the passenger-side mirror contacted a stationary light pole.
There was one passenger onboard at the time of the incident, an employee of the Jacksonville Transportation Authority. There were no reported injuries, and the vehicle was driven from the scene.
Review of the automated driving system logs as well as onboard video footage determined that the operator disengaged the automated driving system 7.5 seconds prior to the vehicle mounting the curb. Further examination of the onboard video footage noted that the operator appeared to be drowsy and inattentive prior to the incident.
Beep confirmed that the operators shift was in compliance with anti-fatigue policies for this operation. The operator was referred for a post-accident drug and alcohol testing following the incident and tested negative for any impairment. Following the conclusion of the investigation into this incident, the operator was separated from employment.", 
30270-11488,2,Waymo LLC,Update,,,Sep-25,SADHW2S11R1,Y,,JAGUAR, ,I-PACE, ,2024, ,9bb28c83869f0d5,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Aug-25, ,16:54, ,88bcb808d90373f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , ,Y, , , , , , , , , , ,Passenger Car,Minor W/O Hospitalization,Proceeding Straight, , , , , , , , ,Y, , ,Stopped,"No Subject Vehicle, No Crash Partner","Yes Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"Other than an update to the highest severity injury alleged field to reflect a minor injury (which is also reflected in the narrative below), the content of this report is unchanged from the initial report submitted on August 12, 2025 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION].
On August [XXX], 2025 at 4:54 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was stopped in the rightmost lane facing northeast on [XXX] in a queue of traffic at the intersection with [XXX] at a location where the rightmost lane and leftmost lane are separated by a raised transit boarding island. As the queue of traffic advanced, the Waymo AV began moving forward. A scooterist traveling northeastbound in the rightmost lane proceeded to pass to the right of the Waymo AV followed closely by a cyclist, and the Waymo AV shifted left towards the raised boarding island and slowed to a stop to yield to the scooterist and cyclist. A passenger car traveling behind the Waymo AV approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. The passenger of the Waymo AV later alleged a minor injury.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11672,1,Waymo LLC,5-Day,,,Sep-25,SADHW2S12R1,Y,,JAGUAR, ,I-PACE, ,2024, ,1ff69f13f6312e5,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Sep-25, ,0:09, ,e31618acd1737c2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , , ,Y, , , , ,Y, , , , , , , , , , ,"Other, see Narrative",Property Damage. No Injured Reported,"Other, see Narrative", , , , , , , , , , ,Y,Proceeding Straight,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle,25, , , ,Y, , , , , , ,Y, , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On September [XXX], 2025 at 12:09 AM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia was in a collision involving a pothole on [XXX] near [XXX]. 
The Waymo AV was traveling southwestbound on [XXX] in the rightmost lane when the Waymo AV's right front tire made contact with a pothole. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30530-11597,1,"Aurora Operations, Inc.",Monthly,9,2025,Sep-25,1XPBD49X3RD,Y,,PETERBILT, ,579, ,2024, ,30868eabdc60bf3,In-Vehicle (Commercial / Test),"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADS,Verified Not Engaged,"Aurora Operations, Inc.", , ,Y, ,Y,Y, ,Y, , , , ,Aug-25, ,10:55, ,ac18c88cf467919,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Highway / Freeway, , , , ,Y, , , , , ,Y, , , , , , , , ,Heavy Truck,Property Damage. No Injured Reported,Proceeding Straight, , , , , , , ,Y, , , ,Merging,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,7, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,N/A, ,Yes, ,"At approximately 10:55 AM CST on August [XXX], 2025, an Aurora truck was traveling westbound on [XXX] in autonomy during a development mission with an Aurora vehicle operator near Stephenville, Texas. 
The Aurora truck was in the right lane and approaching an unmarked right-lane closure with no advance warning signs. The Aurora vehicle operator decided to disengage autonomy and attempted to manually merge the Aurora truck into the left lane. During the vehicle operators manual lane change, a passing tractor trailer sped up on the left and made contact with the Aurora truck. The Aurora vehicle operator attempted to alert the other tractor trailer of the impact to the Aurora truck by honking the horn and flashing lights. However, the passing tractor trailer proceeded without stopping, and after being unable to gain the other drivers attention, the Aurora vehicle operator pulled over to the shoulder of the highway to assess damage to the Aurora truck. 
The Aurora vehicle operator reported damage to the trucks left side mirror and sensor equipment to Auroras dispatch before returning to Auroras terminal in Aledo, Texas. No injuries were reported.", 
30270-11607,1,Waymo LLC,Monthly,8,2025,Sep-25,SADHW2S10R1,Y,,JAGUAR, ,I-PACE, ,2024, ,9c09dbdd3e4f548,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Aug-25, ,19:34, ,4bab2ed9f78c99e,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , , , ,Y, , , , , , , , ,Passenger Car,Property Damage. No Injured Reported,Proceeding Straight, , ,Y, , , , , , , , ,Entering Traffic,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle,8, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On August [XXX], 2025 at 7:34 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was stopped facing west at the curb on the north side of [XXX] after a passenger drop-off. At the same time, a passenger car was traveling westbound within a queue of traffic in the adjacent lane. The Waymo AV then proceeded to maneuver forward and to the left to exit the parking spot and merge into a gap in the traffic queue ahead of the passenger car. The passenger car continued to proceed forward, and the front right side of the passenger car made contact with the rear left side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11594,1,Waymo LLC,Monthly,8,2025,Sep-25,SADHW2S16R1,Y,,JAGUAR, ,I-PACE, ,2024, ,1cfded7638df02b,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Aug-25, ,13:32, ,30e47111d000eb5,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , , , , , , ,Y,Y, , , , , , , , , , ,Other Fixed Object,Property Damage. No Injured Reported,,,,,,,,,,,,,Proceeding Straight,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,2, , , , , , , , , ,Y, , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On August [XXX], 2025 at 1:32 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Paradise Valley, Arizona was in a collision involving an automated flagger assistance device on [XXX] near [XXX]. 
The Waymo AV was traveling northbound on [XXX] when it came to a stop to yield to an automated flagger assistance device that was positioned near the east curb of [XXX]. The arm of the automated flagger assistance device lowered onto the front of the Waymo AV and then the Waymo AV proceeded forward, making further contact with the arm of the automated flagger assistance device. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The automated flagger assistance device sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11622,1,Waymo LLC,Monthly,8,2025,Sep-25,SADHW2S17R1,Y,,JAGUAR, ,I-PACE, ,2024, ,7e9b05bde083073,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Aug-25, ,21:37, ,b8b298169bdd694,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Intersection, , ,Y, , , , , ,Y, , , , , , , , , , ,Passenger Car,Property Damage. No Injured Reported,Proceeding Straight, , , , , , , , ,Y, , ,Stopped,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - All Belted,0, , , , , , , ,Y, , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On August [XXX], 2025 at 9:37 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was stopped facing east in the right turn lane on [XXX] for a red light at the intersection with [XXX]. While the Waymo AV remained stopped for the red light, a passenger car traveling eastbound on [XXX] approached the Waymo AV from behind, and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-11671,1,Waymo LLC,Monthly,8,2025,Sep-25,SADHW2S19R1,Y,,JAGUAR, ,I-PACE, ,2024, ,4e651e73a30d84b,None,"5th Generation ADS, Version 10", ,ADS,Verified Engaged,Waymo LLC, , ,Y, , , , , , , , , ,Aug-25, ,22:57, ,955f70191f829db,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,,Street, , ,Y, , , , , ,Y, , , , , , , , , , ,Pickup Truck,Property Damage. No Injured Reported,Parked, , , ,Y, , , , , , , ,Parking Maneuver,"No Subject Vehicle, No Crash Partner","No Subject Vehicle, No Crash Partner",Subject Vehicle - No Passenger In Vehicle,3, , , ,Y, , , , , , , , , , ,Y, ,Y, , , ,N/A, ,Yes, ,"On August [XXX], 2025 at 10:57 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Culver City, California was in a collision involving a pickup truck with a flatbed trailer on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing west on [XXX] and a pickup truck with an attached flatbed trailer was parked in front of the Waymo AV. The Waymo AV proceeded forward and to the left to exit the parking spot, and the front right side of the Waymo AV made contact with the left rear side of the flatbed. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
